time;SM_gen_cePu;SM_gen_PePu;SM_gen_cmPu;SM_gen_PmPu;SM_gen_ufPu;SM_gen_efdPu;SM_gen_omegaPu;SM_gen_theta;SM_gen_PGenPu;SM_gen_QGenPu;SM_gen_PGen;SM_gen_QGen;SM_gen_UPu;SM_gen_IStatorPu;SM_gen_IRotorPu;SM_gen_UStatorPu;SM_gen_QStatorPu;SM_gen_thetaInternal;SM_gover_PmRefPu;
0.016384;0.90296;0.90296;0.903;0.903;0.00105873;2.42044;1;1.224;19.9791;9.6791;1997.91;967.91;1.00002;22.1999;2.42066;1.00002;9.6791;0.729541;0.903;
0.032768;0.902962;0.902962;0.902999;0.902999;0.00105873;2.42043;1;1.22401;19.9792;9.67915;1997.92;967.915;1.00002;22.1999;2.42065;1.00002;9.67915;0.729541;0.903;
0.065536;0.902965;0.902966;0.902998;0.902999;0.00105873;2.42043;1;1.22401;19.9792;9.67919;1997.92;967.919;1.00002;22.2;2.42064;1.00002;9.67919;0.729542;0.903;
0.098304;0.902969;0.902969;0.902997;0.902998;0.00105873;2.42044;1;1.22401;19.9793;9.67921;1997.93;967.921;1.00002;22.2001;2.42064;1.00002;9.67921;0.729544;0.903;
0.16384;0.902979;0.90298;0.902996;0.902997;0.00105875;2.42048;1;1.22402;19.9796;9.67924;1997.96;967.924;1.00001;22.2004;2.42065;1.00001;9.67924;0.729548;0.903;
0.294912;0.903001;0.903002;0.902997;0.902997;0.00105879;2.42057;1;1.22405;19.98;9.67931;1998;967.931;1.00001;22.2009;2.42069;1.00001;9.67931;0.729558;0.903;
0.451425;0.903013;0.903013;0.902999;0.902999;0.00105881;2.42061;1;1.22406;19.9803;9.67934;1998.03;967.934;1.00001;22.2012;2.42071;1.00001;9.67934;0.729565;0.903;
0.607938;0.903012;0.903012;0.903;0.903;0.00105881;2.42063;1;1.22407;19.9803;9.6793;1998.03;967.93;1.00001;22.2012;2.42071;1.00001;9.6793;0.729567;0.903;
0.764451;0.903006;0.903006;0.903001;0.903001;0.00105881;2.42062;1;1.22406;19.9801;9.67923;1998.01;967.923;1.00001;22.2011;2.4207;1.00001;9.67923;0.729567;0.903;
0.920964;0.903001;0.903001;0.903001;0.903001;0.00105881;2.42062;1;1.22406;19.98;9.67917;1998;967.917;1.00001;22.2009;2.42069;1.00001;9.67917;0.729567;0.903;
0.99922;0.902999;0.902999;0.903001;0.903001;0.00105881;2.42062;1;1.22406;19.98;9.67915;1998;967.915;1.00001;22.2009;2.42069;1.00001;9.67915;0.729567;0.903;
1;0.903005;0.903007;0.904582;0.904584;0.00105881;2.42061;1;1.22406;19.9802;9.67927;1998.02;967.927;1.00001;22.2011;2.4207;1.00001;9.67927;0.729568;0.904595;
1;0.903005;0.903007;0.922988;0.92299;0.00105881;2.42061;1;1.22406;19.9802;9.67927;1998.02;967.927;1.00001;22.2011;2.4207;1.00001;9.67927;0.729568;0.923;
1;0.903005;0.903007;0.922988;0.92299;0.00105881;2.42061;1;1.22406;19.9802;9.67927;1998.02;967.927;1.00001;22.2011;2.4207;1.00001;9.67927;0.729568;0.923;
1;0.903005;0.903007;0.922988;0.92299;0.00105881;2.42061;1;1.22406;19.9802;9.67927;1998.02;967.927;1.00001;22.2011;2.4207;1.00001;9.67927;0.729568;0.923;
1.00001;0.903005;0.903007;0.922988;0.92299;0.00105881;2.42061;1;1.22406;19.9802;9.67927;1998.02;967.927;1.00001;22.2011;2.4207;1.00001;9.67927;0.729568;0.923;
1.00002;0.903005;0.903007;0.922987;0.922989;0.00105881;2.42061;1;1.22406;19.9802;9.67927;1998.02;967.927;1.00001;22.2011;2.4207;1.00001;9.67927;0.729568;0.923;
1.00003;0.903005;0.903007;0.922987;0.922989;0.00105881;2.42061;1;1.22406;19.9802;9.67927;1998.02;967.927;1.00001;22.2011;2.4207;1.00001;9.67927;0.729568;0.923;
1.00006;0.903005;0.903007;0.922987;0.922989;0.00105881;2.42061;1;1.22406;19.9802;9.67928;1998.02;967.928;1.00001;22.2011;2.4207;1.00001;9.67928;0.729568;0.923;
1.00013;0.903005;0.903008;0.922985;0.922988;0.0010588;2.42061;1;1.22406;19.9802;9.67928;1998.02;967.928;1.00001;22.2011;2.4207;1.00001;9.67928;0.729568;0.923;
1.00026;0.903005;0.903008;0.922983;0.922986;0.0010588;2.4206;1;1.22406;19.9802;9.6793;1998.02;967.93;1.00001;22.2011;2.4207;1.00001;9.6793;0.729568;0.923;
1.00051;0.903005;0.903009;0.922979;0.922982;0.0010588;2.42059;1;1.22406;19.9802;9.67933;1998.02;967.933;1.00001;22.2011;2.4207;1.00001;9.67933;0.729569;0.923;
1.00102;0.903006;0.90301;0.92297;0.922975;0.00105879;2.42058;1.00001;1.22407;19.9802;9.67939;1998.02;967.939;1.00001;22.2012;2.4207;1.00001;9.67939;0.729569;0.923;
1.00205;0.903007;0.903014;0.922953;0.92296;0.00105878;2.42054;1.00001;1.22407;19.9803;9.67951;1998.03;967.951;1.00001;22.2013;2.42071;1.00001;9.67951;0.729569;0.923;
1.0041;0.903013;0.903026;0.922919;0.922931;0.00105875;2.42049;1.00001;1.22407;19.9806;9.67977;1998.06;967.977;1.00001;22.2015;2.42072;1.00001;9.67977;0.729571;0.923;
1.00819;0.903038;0.90306;0.92285;0.922873;0.00105872;2.42041;1.00003;1.2241;19.9813;9.68037;1998.13;968.037;1.00002;22.2024;2.42076;1.00002;9.68037;0.729578;0.923;
1.01638;0.903134;0.903178;0.922713;0.922758;0.00105871;2.42039;1.00005;1.2242;19.9839;9.68181;1998.39;968.181;1.00002;22.2053;2.42089;1.00002;9.68181;0.729604;0.923;
1.03277;0.903509;0.903593;0.922447;0.922533;0.00105892;2.42087;1.00009;1.22456;19.9931;9.68566;1999.31;968.566;0.999994;22.2158;2.42138;0.999994;9.68566;0.729708;0.923;
1.04915;0.904117;0.90424;0.922191;0.922317;0.00105942;2.42202;1.00014;1.22515;20.0073;9.69074;2000.73;969.074;0.999936;22.2321;2.42221;0.999936;9.69074;0.729882;0.923;
1.06554;0.904942;0.905103;0.921949;0.922112;0.0010602;2.4238;1.00018;1.22596;20.0264;9.69696;2002.64;969.696;0.999847;22.2539;2.42338;0.999847;9.69696;0.730126;0.923;
1.08192;0.90597;0.906165;0.921722;0.921921;0.00106123;2.42616;1.00022;1.22697;20.0498;9.70426;2004.98;970.426;0.999729;22.2808;2.42488;0.999729;9.70426;0.730439;0.923;
1.0983;0.907182;0.90741;0.921514;0.921746;0.00106249;2.42904;1.00025;1.22816;20.0772;9.71257;2007.72;971.257;0.999585;22.3124;2.42671;0.999585;9.71257;0.730817;0.923;
1.11469;0.90856;0.908817;0.921327;0.921588;0.00106396;2.43239;1.00028;1.22953;20.1083;9.72181;2010.83;972.181;0.999418;22.3481;2.42884;0.999418;9.72181;0.731255;0.923;
1.13107;0.910086;0.910368;0.921162;0.921448;0.00106561;2.43616;1.00031;1.23105;20.1424;9.73188;2014.24;973.188;0.99923;22.3875;2.43124;0.99923;9.73188;0.731749;0.923;
1.14746;0.911737;0.912041;0.921022;0.92133;0.0010674;2.44027;1.00033;1.23271;20.1793;9.74269;2017.93;974.269;0.999024;22.43;2.43388;0.999024;9.74269;0.732291;0.923;
1.16384;0.913492;0.913815;0.920906;0.921232;0.00106933;2.44467;1.00035;1.23447;20.2184;9.75413;2021.84;975.413;0.998804;22.4752;2.43674;0.998804;9.75413;0.732875;0.923;
1.18022;0.915329;0.915667;0.920817;0.921157;0.00107135;2.44929;1.00037;1.23633;20.2592;9.76608;2025.92;976.608;0.998573;22.5224;2.43977;0.998573;9.76608;0.733494;0.923;
1.19661;0.917225;0.917573;0.920755;0.921104;0.00107344;2.45407;1.00038;1.23824;20.3013;9.77841;2030.13;977.841;0.998334;22.5711;2.44294;0.998334;9.77841;0.73414;0.923;
1.21299;0.919157;0.919511;0.92072;0.921074;0.00107557;2.45894;1.00039;1.24021;20.344;9.791;2034.4;979.1;0.99809;22.6207;2.44622;0.99809;9.791;0.734805;0.923;
1.22938;0.921102;0.921458;0.920712;0.921068;0.00107772;2.46384;1.00039;1.24219;20.3869;9.80371;2038.69;980.371;0.997845;22.6705;2.44956;0.997845;9.80371;0.735481;0.923;
1.24576;0.923037;0.923391;0.92073;0.921083;0.00107985;2.46871;1.00038;1.24416;20.4295;9.81642;2042.95;981.642;0.997602;22.7201;2.45292;0.997602;9.81642;0.73616;0.923;
1.26214;0.92494;0.925288;0.920775;0.921121;0.00108193;2.47349;1.00038;1.24611;20.4713;9.82899;2047.13;982.899;0.997363;22.7687;2.45626;0.997363;9.82899;0.736835;0.923;
1.27853;0.92679;0.927128;0.920845;0.92118;0.00108395;2.4781;1.00036;1.24801;20.5119;9.84129;2051.19;984.129;0.997132;22.816;2.45956;0.997132;9.84129;0.737498;0.923;
1.29491;0.928567;0.92889;0.920938;0.921259;0.00108588;2.4825;1.00035;1.24984;20.5507;9.8532;2055.07;985.32;0.996913;22.8613;2.46276;0.996913;9.8532;0.738141;0.923;
1.3113;0.930251;0.930557;0.921055;0.921357;0.00108768;2.48662;1.00033;1.25157;20.5875;9.8646;2058.75;986.46;0.996706;22.9042;2.46584;0.996706;9.8646;0.738758;0.923;
1.32768;0.931825;0.932109;0.921192;0.921473;0.00108934;2.49042;1.00031;1.2532;20.6217;9.87537;2062.17;987.537;0.996516;22.9443;2.46876;0.996516;9.87537;0.739341;0.923;
1.34406;0.933272;0.933533;0.921347;0.921605;0.00109084;2.49385;1.00028;1.2547;20.6531;9.88542;2065.31;988.542;0.996345;22.981;2.47149;0.996345;9.88542;0.739885;0.923;
1.36045;0.934579;0.934812;0.92152;0.92175;0.00109216;2.49687;1.00025;1.25606;20.6813;9.89464;2068.13;989.464;0.996194;23.014;2.474;0.996194;9.89464;0.740385;0.923;
1.37683;0.935732;0.935936;0.921707;0.921908;0.00109328;2.49944;1.00022;1.25726;20.706;9.90296;2070.6;990.296;0.996066;23.043;2.47626;0.996066;9.90296;0.740835;0.923;
1.39322;0.936721;0.936894;0.921906;0.922077;0.0010942;2.50152;1.00018;1.2583;20.7271;9.91029;2072.71;991.029;0.995961;23.0677;2.47826;0.995961;9.91029;0.741231;0.923;
1.4096;0.937538;0.937678;0.922115;0.922253;0.00109489;2.50311;1.00015;1.25915;20.7444;9.91658;2074.44;991.658;0.995882;23.0879;2.47998;0.995882;9.91658;0.74157;0.923;
1.42598;0.938175;0.938281;0.922331;0.922435;0.00109535;2.50417;1.00011;1.25983;20.7577;9.92178;2075.77;992.178;0.995829;23.1034;2.48139;0.995829;9.92178;0.741848;0.923;
1.44237;0.938628;0.938699;0.922552;0.922622;0.00109558;2.50469;1.00008;1.26031;20.7669;9.92586;2076.69;992.586;0.995803;23.1141;2.48249;0.995803;9.92586;0.742065;0.923;
1.45875;0.938894;0.93893;0.922774;0.922809;0.00109558;2.50468;1.00004;1.2606;20.772;9.92879;2077.2;992.879;0.995803;23.12;2.48326;0.995803;9.92879;0.742218;0.923;
1.49152;0.938874;0.938841;0.923211;0.923179;0.00109489;2.5031;0.999964;1.26062;20.77;9.9312;2077;993.12;0.995883;23.1174;2.48384;0.995883;9.9312;0.742332;0.923;
1.52429;0.938142;0.938043;0.923626;0.923528;0.00109332;2.49952;0.999894;1.2599;20.7525;9.92916;2075.25;992.916;0.996061;23.0965;2.48316;0.996061;9.92916;0.742197;0.923;
1.55378;0.936914;0.936762;0.923965;0.923815;0.00109124;2.49476;0.999837;1.25867;20.7242;9.92374;2072.42;992.374;0.996299;23.063;2.48151;0.996299;9.92374;0.741875;0.923;
1.58032;0.935395;0.9352;0.924233;0.924041;0.00108889;2.48939;0.999792;1.25713;20.6898;9.91622;2068.98;991.622;0.996568;23.0224;2.47926;0.996568;9.91622;0.741436;0.923;
1.60421;0.933735;0.933508;0.924439;0.924214;0.00108646;2.48382;0.999757;1.25545;20.6525;9.90756;2065.25;990.756;0.996846;22.9785;2.47669;0.996846;9.90756;0.740934;0.923;
1.62571;0.932041;0.931791;0.92459;0.924342;0.00108406;2.47835;0.999732;1.25373;20.6147;9.89847;2061.47;989.847;0.99712;22.934;2.47399;0.99712;9.89847;0.740407;0.923;
1.64506;0.930385;0.930119;0.924697;0.924433;0.00108179;2.47315;0.999714;1.25205;20.5778;9.88941;2057.78;988.941;0.99738;22.8908;2.4713;0.99738;9.88941;0.739882;0.923;
1.66441;0.928636;0.928358;0.924775;0.924498;0.00107944;2.46778;0.9997;1.25028;20.539;9.87969;2053.9;987.969;0.997649;22.8454;2.46842;0.997649;9.87969;0.73932;0.923;
1.68376;0.926823;0.926538;0.924823;0.924539;0.00107705;2.46232;0.999692;1.24844;20.4989;9.86951;2049.89;986.951;0.997921;22.7985;2.46539;0.997921;9.86951;0.738729;0.923;
1.7031;0.924977;0.924689;0.924841;0.924553;0.00107467;2.45688;0.999689;1.24657;20.4582;9.85904;2045.82;985.904;0.998193;22.7509;2.46228;0.998193;9.85904;0.738121;0.923;
1.72245;0.923127;0.922842;0.924828;0.924543;0.00107233;2.45153;0.999692;1.2447;20.4174;9.84845;2041.74;984.845;0.998461;22.7035;2.45912;0.998461;9.84845;0.737505;0.923;
1.7418;0.921305;0.921027;0.924785;0.924507;0.00107007;2.44637;0.999699;1.24285;20.3774;9.83793;2037.74;983.793;0.998719;22.657;2.45597;0.998719;9.83793;0.736891;0.923;
1.76115;0.919539;0.919273;0.924715;0.924447;0.00106792;2.44145;0.999711;1.24106;20.3388;9.82765;2033.88;982.765;0.998965;22.6121;2.45289;0.998965;9.82765;0.73629;0.923;
1.7805;0.917858;0.917607;0.924618;0.924365;0.00106592;2.43687;0.999727;1.23936;20.302;9.81777;2030.2;981.777;0.999194;22.5695;2.44992;0.999194;9.81777;0.735712;0.923;
1.79985;0.916288;0.916056;0.924495;0.924262;0.00106408;2.43268;0.999748;1.23777;20.2679;9.80846;2026.79;980.846;0.999404;22.5299;2.44711;0.999404;9.80846;0.735165;0.923;
1.8192;0.914852;0.914644;0.924351;0.92414;0.00106245;2.42893;0.999772;1.23632;20.2367;9.79986;2023.67;979.986;0.999591;22.4939;2.4445;0.999591;9.79986;0.734658;0.923;
1.83855;0.913573;0.91339;0.924187;0.924002;0.00106103;2.42569;0.9998;1.23502;20.2091;9.79209;2020.91;979.209;0.999753;22.462;2.44212;0.999753;9.79209;0.7342;0.923;
1.8579;0.912469;0.912314;0.924006;0.923849;0.00105984;2.42298;0.99983;1.2339;20.1854;9.78527;2018.54;978.527;0.999888;22.4346;2.44003;0.999888;9.78527;0.733796;0.923;
1.87725;0.911555;0.91143;0.923812;0.923686;0.0010589;2.42083;0.999863;1.23297;20.1659;9.7795;2016.59;977.95;0.999996;22.4122;2.43824;0.999996;9.7795;0.733453;0.923;
1.8966;0.910843;0.910749;0.923608;0.923513;0.00105822;2.41928;0.999897;1.23225;20.1509;9.77486;2015.09;977.486;1.00007;22.3949;2.43677;1.00007;9.77486;0.733176;0.923;
1.91595;0.910341;0.91028;0.923398;0.923336;0.0010578;2.41832;0.999933;1.23173;20.1405;9.7714;2014.05;977.14;1.00012;22.383;2.43565;1.00012;9.7714;0.732968;0.923;
1.9353;0.910054;0.910026;0.923184;0.923156;0.00105765;2.41797;0.999969;1.23144;20.1349;9.76916;2013.49;976.916;1.00014;22.3766;2.43489;1.00014;9.76916;0.732832;0.923;
1.95464;0.909984;0.909988;0.922971;0.922976;0.00105775;2.4182;1;1.23136;20.1341;9.76816;2013.41;976.816;1.00013;22.3757;2.43448;1.00013;9.76816;0.73277;0.923;
1.99334;0.910463;0.91053;0.922565;0.922633;0.00105869;2.42034;1.00007;1.23183;20.146;9.76979;2014.6;976.979;1.00002;22.3895;2.43475;1.00002;9.76979;0.732859;0.923;
2.02514;0.911442;0.911556;0.92226;0.922376;0.00106014;2.42366;1.00012;1.23281;20.1686;9.77459;2016.86;977.459;0.999855;22.4157;2.43599;0.999855;9.77459;0.733138;0.923;
2.05694;0.912887;0.913042;0.921995;0.922152;0.00106211;2.42817;1.00017;1.23427;20.2014;9.78222;2020.14;978.222;0.999629;22.4536;2.43807;0.999629;9.78222;0.733585;0.923;
2.08333;0.914391;0.914574;0.921813;0.921998;0.00106409;2.4327;1.0002;1.23579;20.2352;9.79045;2023.52;979.045;0.999402;22.4927;2.44036;0.999402;9.79045;0.734069;0.923;
2.10709;0.915935;0.91614;0.921681;0.921887;0.00106608;2.43725;1.00022;1.23736;20.2697;9.79909;2026.97;979.909;0.999175;22.5326;2.4428;0.999175;9.79909;0.734577;0.923;
2.12847;0.917445;0.917664;0.921592;0.921812;0.001068;2.44163;1.00024;1.2389;20.3033;9.80766;2030.33;980.766;0.998956;22.5716;2.44524;0.998956;9.80766;0.735083;0.923;
2.14985;0.919034;0.919262;0.921533;0.921761;0.00106999;2.44618;1.00025;1.24052;20.3385;9.8168;2033.85;981.68;0.998728;22.6125;2.44785;0.998728;9.8168;0.735623;0.923;
2.16909;0.920506;0.920738;0.921504;0.921737;0.00107182;2.45036;1.00025;1.24203;20.3711;9.82536;2037.11;982.536;0.998519;22.6503;2.45031;0.998519;9.82536;0.736128;0.923;
2.18833;0.92199;0.922224;0.9215;0.921734;0.00107364;2.45454;1.00025;1.24355;20.4038;9.83409;2040.38;983.409;0.998311;22.6884;2.45283;0.998311;9.83409;0.736644;0.923;
2.20757;0.923464;0.923694;0.92152;0.92175;0.00107544;2.45865;1.00025;1.24507;20.4362;9.84283;2043.62;984.283;0.998105;22.7261;2.45537;0.998105;9.84283;0.737162;0.923;
2.22681;0.924903;0.925127;0.921563;0.921786;0.00107718;2.46263;1.00024;1.24655;20.4678;9.85146;2046.78;985.146;0.997906;22.7629;2.45788;0.997906;9.85146;0.737674;0.923;
2.24606;0.926286;0.926501;0.921628;0.921841;0.00107884;2.46642;1.00023;1.24798;20.4981;9.85983;2049.81;985.983;0.997717;22.7982;2.46033;0.997717;9.85983;0.738171;0.923;
2.2653;0.927592;0.927794;0.921713;0.921913;0.00108039;2.46995;1.00022;1.24933;20.5266;9.86782;2052.66;986.782;0.99754;22.8315;2.46268;0.99754;9.86782;0.738647;0.923;
2.28454;0.928802;0.928987;0.921817;0.922001;0.0010818;2.47319;1.0002;1.25059;20.5529;9.8753;2055.29;987.53;0.997378;22.8622;2.46489;0.997378;9.8753;0.739094;0.923;
2.30378;0.929898;0.930065;0.921938;0.922104;0.00108306;2.47607;1.00018;1.25173;20.5766;9.88217;2057.66;988.217;0.997234;22.89;2.46693;0.997234;9.88217;0.739505;0.923;
2.32302;0.930866;0.931011;0.922074;0.922218;0.00108415;2.47856;1.00016;1.25274;20.5975;9.88832;2059.75;988.832;0.997109;22.9143;2.46877;0.997109;9.88832;0.739876;0.923;
2.34226;0.931692;0.931814;0.922222;0.922343;0.00108506;2.48062;1.00013;1.25361;20.6152;9.89366;2061.52;989.366;0.997006;22.935;2.47039;0.997006;9.89366;0.7402;0.923;
2.3615;0.932365;0.932463;0.92238;0.922477;0.00108576;2.48223;1.0001;1.25432;20.6295;9.89813;2062.95;989.813;0.996926;22.9518;2.47176;0.996926;9.89813;0.740475;0.923;
2.38075;0.932879;0.932951;0.922545;0.922616;0.00108625;2.48336;1.00008;1.25486;20.6402;9.90166;2064.02;990.166;0.996869;22.9643;2.47286;0.996869;9.90166;0.740696;0.923;
2.39999;0.933227;0.933272;0.922713;0.922758;0.00108654;2.48401;1.00005;1.25524;20.6473;9.90422;2064.73;990.422;0.996837;22.9726;2.47368;0.996837;9.90422;0.740861;0.923;
2.41923;0.933408;0.933426;0.922883;0.922902;0.00108661;2.48417;1.00002;1.25545;20.6507;9.90578;2065.07;990.578;0.996829;22.9765;2.47422;0.996829;9.90578;0.740969;0.923;
2.45771;0.933275;0.933242;0.923215;0.923181;0.00108613;2.48307;0.999964;1.25535;20.6467;9.90593;2064.67;990.593;0.996884;22.9716;2.47443;0.996884;9.90593;0.741013;0.923;
2.4962;0.932519;0.932437;0.923521;0.92344;0.00108489;2.48024;0.999912;1.25461;20.6289;9.90227;2062.89;990.227;0.997026;22.9507;2.47353;0.997026;9.90227;0.740839;0.923;
2.53083;0.931355;0.931236;0.92376;0.923642;0.0010832;2.47637;0.999872;1.25345;20.6024;9.89601;2060.24;989.601;0.997219;22.9196;2.47184;0.997219;9.89601;0.740509;0.923;
2.56146;0.930001;0.929854;0.923935;0.92379;0.00108133;2.47212;0.999842;1.25208;20.572;9.88844;2057.2;988.844;0.997432;22.8839;2.46975;0.997432;9.88844;0.740099;0.923;
2.58867;0.928589;0.928424;0.924056;0.923891;0.00107946;2.46783;0.999822;1.25066;20.5405;9.88039;2054.05;988.039;0.997646;22.847;2.46749;0.997646;9.88039;0.739656;0.923;
2.61316;0.927192;0.927015;0.924134;0.923957;0.00107765;2.46369;0.999809;1.24925;20.5094;9.87231;2050.94;987.231;0.997853;22.8108;2.4652;0.997853;9.87231;0.739207;0.923;
2.6352;0.925865;0.925681;0.924178;0.923994;0.00107596;2.45984;0.999801;1.2479;20.48;9.86456;2048;986.456;0.998046;22.7764;2.46299;0.998046;9.86456;0.738774;0.923;
2.65724;0.924502;0.924315;0.924197;0.92401;0.00107426;2.45595;0.999798;1.24652;20.4499;9.85652;2044.99;985.652;0.99824;22.7413;2.46068;0.99824;9.85652;0.738322;0.923;
2.67928;0.923132;0.922947;0.92419;0.924004;0.00107259;2.45212;0.999799;1.24514;20.4198;9.84839;2041.98;984.839;0.998431;22.7062;2.45834;0.998431;9.84839;0.737863;0.923;
2.70132;0.921786;0.921606;0.924158;0.923977;0.00107097;2.44843;0.999805;1.24377;20.3902;9.84032;2039.02;984.032;0.998616;22.6719;2.456;0.998616;9.84032;0.737406;0.923;
2.72336;0.92049;0.920319;0.924102;0.92393;0.00106945;2.44495;0.999814;1.24246;20.3618;9.83249;2036.18;983.249;0.99879;22.6389;2.45373;0.99879;9.83249;0.736961;0.923;
2.7454;0.919272;0.919113;0.924025;0.923865;0.00106805;2.44174;0.999827;1.24122;20.3352;9.82505;2033.52;982.505;0.99895;22.6081;2.45155;0.99895;9.82505;0.736536;0.923;
2.76744;0.918155;0.918011;0.923927;0.923782;0.00106679;2.43887;0.999844;1.24009;20.3109;9.81814;2031.09;981.814;0.999094;22.5799;2.44953;0.999094;9.81814;0.736141;0.923;
2.78948;0.91716;0.917035;0.923812;0.923685;0.00106571;2.43639;0.999863;1.23908;20.2894;9.81189;2028.94;981.189;0.999218;22.555;2.44769;0.999218;9.81189;0.735784;0.923;
2.81152;0.916307;0.916202;0.923681;0.923575;0.00106481;2.43434;0.999885;1.23821;20.2711;9.80643;2027.11;980.643;0.99932;22.5338;2.44607;0.99932;9.80643;0.73547;0.923;
2.83357;0.915612;0.915528;0.923539;0.923455;0.00106412;2.43277;0.999909;1.2375;20.2562;9.80185;2025.62;980.185;0.999399;22.5167;2.4447;0.999399;9.80185;0.735207;0.923;
2.85561;0.915085;0.915025;0.923389;0.923328;0.00106365;2.43168;0.999934;1.23696;20.2451;9.79823;2024.51;979.823;0.999454;22.5038;2.44361;0.999454;9.79823;0.734999;0.923;
2.87765;0.914734;0.914698;0.923233;0.923197;0.00106339;2.43109;0.999961;1.2366;20.2379;9.79561;2023.79;979.561;0.999483;22.4956;2.4428;0.999483;9.79561;0.734849;0.923;
2.89969;0.914564;0.914552;0.923075;0.923064;0.00106335;2.431;0.999987;1.23642;20.2347;9.79404;2023.47;979.404;0.999487;22.4919;2.4423;0.999487;9.79404;0.73476;0.923;
2.92173;0.914573;0.914586;0.922919;0.922932;0.00106353;2.43141;1.00001;1.23643;20.2354;9.79353;2023.54;979.353;0.999467;22.4928;2.44211;0.999467;9.79353;0.734732;0.923;
2.95299;0.914885;0.91493;0.922707;0.922753;0.00106413;2.43279;1.00005;1.23673;20.243;9.79456;2024.3;979.456;0.999398;22.5016;2.44235;0.999398;9.79456;0.734796;0.923;
2.98425;0.915524;0.915599;0.922514;0.922589;0.00106512;2.43504;1.00008;1.23737;20.2578;9.79756;2025.78;979.756;0.999286;22.5188;2.44316;0.999286;9.79756;0.734975;0.923;
3.01551;0.916454;0.916555;0.922345;0.922447;0.00106643;2.43803;1.00011;1.23831;20.2789;9.80235;2027.89;980.235;0.999136;22.5432;2.44451;0.999136;9.80235;0.735259;0.923;
3.04364;0.917503;0.917623;0.92222;0.922342;0.00106784;2.44127;1.00013;1.23938;20.3024;9.80799;2030.24;980.799;0.998974;22.5705;2.44611;0.998974;9.80799;0.735593;0.923;
