time;WT4B_WT_controlMeasurements_PGenNomPu;WT4B_WT_controlMeasurements_QGenNomPu;WT4B_WT_controlMeasurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;
6.000075;0.368671;-0.135493;0.736377;0.729792;0.098254;-0.471628;-0.249156;
6.000228;0.368579;-0.135641;0.736324;0.729742;0.098230;-0.471517;-0.249345;
6.000381;0.368521;-0.135722;0.736295;0.729715;0.098214;-0.471447;-0.249446;
6.000686;0.368532;-0.135634;0.736328;0.729749;0.098214;-0.471458;-0.249315;
6.000796;0.368581;-0.135517;0.736370;0.729790;0.098226;-0.471515;-0.249157;
6.000796;0.368580;-0.135517;0.736370;0.729790;0.098225;-0.471515;-0.249157;
6.000797;0.368581;-0.135516;0.736371;0.729790;0.098226;-0.471516;-0.249155;
6.000797;0.368581;-0.135516;0.736371;0.729790;0.098226;-0.471516;-0.249155;
6.000797;0.368581;-0.135516;0.736371;0.729790;0.098226;-0.471516;-0.249155;
6.000797;0.368581;-0.135516;0.736371;0.729790;0.098226;-0.471516;-0.249155;
6.001027;0.368644;-0.135261;0.736465;0.729883;0.098237;-0.471587;-0.248790;
6.001487;0.368846;-0.134298;0.736820;0.730238;0.098267;-0.471812;-0.247401;
6.001948;0.369122;-0.132927;0.737327;0.730744;0.098306;-0.472116;-0.245419;
6.002869;0.369925;-0.128870;0.738820;0.732236;0.098418;-0.472999;-0.239569;
6.003069;0.370147;-0.127766;0.739226;0.732640;0.098449;-0.473244;-0.237984;
6.003069;0.370144;-0.127766;0.739225;0.732641;0.098448;-0.473240;-0.237983;
6.003448;0.370537;-0.125811;0.739942;0.733356;0.098504;-0.473673;-0.235179;
6.003838;0.371010;-0.123486;0.740792;0.734204;0.098573;-0.474194;-0.231854;
6.003838;0.371007;-0.123486;0.740792;0.734205;0.098572;-0.474190;-0.231853;
6.004230;0.371486;-0.121139;0.741648;0.735059;0.098641;-0.474718;-0.228506;
6.004669;0.372088;-0.118233;0.742704;0.736112;0.098730;-0.475382;-0.224378;
6.004669;0.372085;-0.118233;0.742704;0.736113;0.098729;-0.475378;-0.224377;
6.005076;0.372651;-0.115517;0.743688;0.737094;0.098814;-0.476003;-0.220531;
6.005350;0.373063;-0.113572;0.744391;0.737795;0.098877;-0.476459;-0.217788;
6.005350;0.373060;-0.113573;0.744391;0.737795;0.098876;-0.476455;-0.217788;
6.005363;0.373079;-0.113483;0.744423;0.737827;0.098879;-0.476476;-0.217661;
6.005363;0.373079;-0.113483;0.744423;0.737827;0.098879;-0.476476;-0.217661;
6.005363;0.373080;-0.113480;0.744424;0.737828;0.098879;-0.476477;-0.217657;
6.005363;0.373080;-0.113480;0.744424;0.737828;0.098879;-0.476477;-0.217657;
6.005363;0.373080;-0.113480;0.744424;0.737828;0.098879;-0.476477;-0.217657;
6.005363;0.373080;-0.113480;0.744424;0.737828;0.098879;-0.476477;-0.217657;
6.005722;0.373618;-0.110945;0.745338;0.738739;0.098961;-0.477071;-0.214090;
6.005722;0.373617;-0.110945;0.745338;0.738739;0.098961;-0.477070;-0.214090;
6.005722;0.373617;-0.110945;0.745338;0.738739;0.098961;-0.477071;-0.214089;
6.005722;0.373617;-0.110945;0.745338;0.738739;0.098961;-0.477071;-0.214089;
6.006072;0.374316;-0.107368;0.746625;0.740025;0.099057;-0.477833;-0.209049;
6.006072;0.374316;-0.107368;0.746625;0.740025;0.099057;-0.477832;-0.209048;
6.006473;0.375167;-0.103004;0.748190;0.741588;0.099175;-0.478760;-0.202922;
6.007275;0.377049;-0.093365;0.751620;0.745014;0.099436;-0.480805;-0.189493;
6.008878;0.381169;-0.072637;0.758884;0.752263;0.100025;-0.485278;-0.161083;
6.010481;0.385407;-0.052050;0.765953;0.759310;0.100661;-0.489879;-0.133492;
6.013688;0.392848;-0.018913;0.777035;0.770325;0.101896;-0.498016;-0.090428;
6.014300;0.394024;-0.014383;0.778520;0.771794;0.102117;-0.499323;-0.084702;
6.014300;0.394014;-0.014384;0.778520;0.771794;0.102114;-0.499311;-0.084699;
6.014803;0.395186;-0.009302;0.780184;0.773446;0.102314;-0.500591;-0.078247;
6.015810;0.397577;0.001097;0.783566;0.776803;0.102723;-0.503199;-0.065130;
6.017823;0.402323;0.021459;0.790103;0.783288;0.103547;-0.508371;-0.039808;
6.021849;0.410799;0.055298;0.800715;0.793785;0.105114;-0.517667;0.001114;
6.025875;0.418032;0.080812;0.808511;0.801456;0.106575;-0.525703;0.030926;
6.029901;0.424023;0.098348;0.813756;0.806570;0.107913;-0.532493;0.050690;
6.033927;0.428984;0.109297;0.816964;0.809641;0.109144;-0.538261;0.062434;
6.037953;0.433178;0.115354;0.818687;0.811224;0.110296;-0.543272;0.068333;
6.041979;0.436851;0.118088;0.819412;0.811806;0.111393;-0.547769;0.070301;
6.046006;0.440198;0.118760;0.819520;0.811768;0.112455;-0.551945;0.069837;
6.050032;0.443362;0.118285;0.819284;0.811385;0.113497;-0.555940;0.068016;
6.058084;0.449495;0.116159;0.818457;0.810258;0.115559;-0.563735;0.062961;
6.066136;0.455640;0.114133;0.817652;0.809148;0.117622;-0.571538;0.057972;
6.074188;0.461834;0.112502;0.816959;0.808144;0.119687;-0.579383;0.053403;
6.090293;0.474356;0.110233;0.815853;0.806401;0.123829;-0.595195;0.045301;
6.113295;0.492263;0.107668;0.814447;0.804039;0.129730;-0.617762;0.034235;
6.113295;0.492286;0.107731;0.814455;0.804056;0.129736;-0.617789;0.034303;
6.119552;0.495315;0.106812;0.814061;0.803492;0.130751;-0.621624;0.031779;
6.132066;0.498078;0.104932;0.813378;0.802643;0.131713;-0.625166;0.028144;
6.144579;0.499332;0.103106;0.812766;0.801945;0.132183;-0.626813;0.025253;
6.169607;0.500020;0.099545;0.811635;0.800742;0.132530;-0.627824;0.020406;
6.194634;0.500166;0.096040;0.810539;0.799602;0.132699;-0.628151;0.015864;
6.244689;0.500193;0.089278;0.808425;0.797419;0.132942;-0.628463;0.007184;
6.249999;0.500200;0.088611;0.808216;0.797203;0.132968;-0.628498;0.006324;
6.249999;0.682077;0.086858;1.093955;1.086527;0.127266;-0.628500;0.006324;
6.250075;0.682056;0.087018;1.093995;1.086569;0.127256;-0.628475;0.006480;
6.250227;0.681908;0.087045;1.094005;1.086583;0.127217;-0.628337;0.006543;
6.250379;0.681655;0.086788;1.093946;1.086531;0.127160;-0.628114;0.006366;
6.250683;0.680768;0.085208;1.093571;1.086174;0.126979;-0.627355;0.005107;
6.250987;0.679528;0.082632;1.092954;1.085581;0.126738;-0.626308;0.002998;
6.251004;0.679424;0.082386;1.092895;1.085523;0.126718;-0.626221;0.002794;
6.251004;0.679424;0.082386;1.092895;1.085523;0.126718;-0.626221;0.002794;
6.251247;0.678214;0.079691;1.092246;1.084897;0.126488;-0.625207;0.000562;
6.251732;0.675065;0.072163;1.090426;1.083134;0.125903;-0.622584;-0.005744;
6.252217;0.671293;0.062757;1.088140;1.080912;0.125214;-0.619456;-0.013699;
6.252658;0.667031;0.051575;1.085406;1.078247;0.124452;-0.615941;-0.023260;
6.252658;0.667011;0.051576;1.085406;1.078249;0.124446;-0.615922;-0.023253;
6.252938;0.664501;0.045228;1.083849;1.076734;0.123991;-0.613843;-0.028682;
6.253499;0.659163;0.031992;1.080590;1.073566;0.123015;-0.609407;-0.040030;
6.253839;0.655694;0.023571;1.078508;1.071543;0.122376;-0.606517;-0.047271;
6.253839;0.655672;0.023573;1.078509;1.071544;0.122371;-0.606497;-0.047263;
6.253847;0.655592;0.023376;1.078460;1.071497;0.122356;-0.606430;-0.047433;
6.253847;0.655591;0.023376;1.078460;1.071497;0.122356;-0.606430;-0.047433;
6.253847;0.655589;0.023370;1.078459;1.071495;0.122356;-0.606428;-0.047438;
6.253847;0.655589;0.023370;1.078459;1.071495;0.122356;-0.606428;-0.047438;
6.253847;0.655589;0.023370;1.078459;1.071495;0.122356;-0.606428;-0.047438;
6.253847;0.655589;0.023370;1.078459;1.071495;0.122356;-0.606428;-0.047438;
6.253847;0.655589;0.023370;1.078459;1.071495;0.122356;-0.606428;-0.047438;
6.253847;0.655589;0.023370;1.078459;1.071495;0.122356;-0.606428;-0.047438;
6.254127;0.652822;0.016599;1.076778;1.069861;0.121848;-0.604124;-0.053290;
6.254127;0.652822;0.016599;1.076778;1.069861;0.121848;-0.604124;-0.053290;
6.254127;0.652822;0.016598;1.076778;1.069861;0.121848;-0.604123;-0.053290;
6.254127;0.652822;0.016598;1.076778;1.069861;0.121848;-0.604123;-0.053290;
6.254412;0.649951;0.009614;1.075039;1.068171;0.121320;-0.601731;-0.059342;
6.254982;0.644055;-0.004591;1.071484;1.064717;0.120233;-0.596810;-0.071707;
6.256122;0.632016;-0.033243;1.064243;1.057681;0.118006;-0.586739;-0.096893;
6.257263;0.620083;-0.061475;1.057008;1.050646;0.115797;-0.576737;-0.122077;
6.259543;0.597813;-0.113893;1.043294;1.037300;0.111680;-0.558027;-0.169877;
6.261824;0.578107;-0.160527;1.030763;1.025082;0.108057;-0.541438;-0.213674;
6.264104;0.561139;-0.200919;1.019636;1.014218;0.104956;-0.527127;-0.252652;
6.266384;0.546864;-0.235178;1.009986;1.004783;0.102364;-0.515069;-0.286532;
6.268035;0.538342;-0.255892;1.004049;0.998971;0.100829;-0.507868;-0.307417;
6.268035;0.538151;-0.255874;1.004056;0.998985;0.100780;-0.507691;-0.307351;
6.268443;0.536091;-0.260580;1.002699;0.997660;0.100400;-0.505940;-0.312106;
6.269261;0.532553;-0.267635;1.000666;0.995685;0.099716;-0.502898;-0.319159;
6.270895;0.527388;-0.274205;0.998801;0.993922;0.098603;-0.498340;-0.325320;
6.272530;0.523743;-0.275033;0.998623;0.993833;0.097700;-0.495004;-0.325401;
6.274165;0.521198;-0.271751;0.999655;0.994943;0.096949;-0.492555;-0.321128;
6.275799;0.519480;-0.265750;1.001480;0.996837;0.096326;-0.490785;-0.314018;
6.279069;0.517500;-0.250478;1.006044;1.001516;0.095351;-0.488478;-0.296606;
6.282338;0.515995;-0.236329;1.010226;1.005793;0.094533;-0.486640;-0.280706;
6.285607;0.514483;-0.225372;1.013444;1.009092;0.093812;-0.484893;-0.268420;
6.288877;0.512836;-0.218066;1.015587;1.011303;0.093170;-0.483138;-0.260140;
6.295416;0.509539;-0.213163;1.017055;1.012869;0.092181;-0.479937;-0.254134;
6.301954;0.506686;-0.212783;1.017211;1.013093;0.091442;-0.477292;-0.253114;
6.308493;0.504547;-0.213725;1.016975;1.012902;0.090926;-0.475349;-0.253674;
6.321571;0.502412;-0.214898;1.016671;1.012642;0.090419;-0.473417;-0.254486;
6.334648;0.501451;-0.215191;1.016602;1.012594;0.090183;-0.472539;-0.254599;
6.360803;0.500973;-0.215024;1.016658;1.012661;0.090056;-0.472093;-0.254319;
6.386958;0.500912;-0.214757;1.016736;1.012742;0.090032;-0.472028;-0.254018;
6.439268;0.500979;-0.214409;1.016835;1.012841;0.090039;-0.472078;-0.253657;
6.543888;0.500972;-0.213746;1.017026;1.013034;0.090017;-0.472051;-0.252941;
6.753128;0.500888;-0.212729;1.017319;1.013334;0.089964;-0.471939;-0.251829;
7.171608;0.500846;-0.211531;1.017665;1.013684;0.089917;-0.471862;-0.250531;
8.008568;0.500813;-0.210580;1.017938;1.013963;0.089880;-0.471800;-0.249502;
8.845527;0.500784;-0.210200;1.018048;1.014074;0.089861;-0.471761;-0.249087;
10.519447;0.500732;-0.210047;1.018093;1.014121;0.089843;-0.471708;-0.248912;
11.999998;0.500692;-0.210029;1.018098;1.014128;0.089832;-0.471671;-0.248884;
11.999998;0.289012;-0.110571;0.580230;0.576048;0.069537;-0.471671;-0.248884;
12.000099;0.288979;-0.110624;0.580216;0.576035;0.069529;-0.471619;-0.248970;
12.000302;0.288982;-0.110581;0.580228;0.576047;0.069529;-0.471623;-0.248891;
12.000493;0.289047;-0.110405;0.580277;0.576095;0.069543;-0.471727;-0.248588;
12.000493;0.289047;-0.110405;0.580277;0.576095;0.069543;-0.471727;-0.248589;
12.000493;0.289047;-0.110405;0.580277;0.576095;0.069543;-0.471727;-0.248588;
12.000493;0.289047;-0.110405;0.580277;0.576095;0.069543;-0.471727;-0.248588;
12.000493;0.289047;-0.110405;0.580277;0.576095;0.069543;-0.471727;-0.248588;
12.000493;0.289047;-0.110405;0.580277;0.576095;0.069543;-0.471727;-0.248588;
12.000671;0.289117;-0.110146;0.580349;0.576166;0.069558;-0.471838;-0.248133;
12.001027;0.289302;-0.109249;0.580601;0.576416;0.069593;-0.472133;-0.246534;
12.001383;0.289531;-0.108000;0.580953;0.576764;0.069635;-0.472496;-0.244297;
12.002094;0.290146;-0.104298;0.581993;0.577799;0.069742;-0.473471;-0.237659;
12.002717;0.290808;-0.100168;0.583150;0.578951;0.069856;-0.474517;-0.230272;
12.002717;0.290808;-0.100168;0.583150;0.578951;0.069856;-0.474517;-0.230272;
12.002793;0.290893;-0.099640;0.583297;0.579097;0.069871;-0.474651;-0.229330;
12.002793;0.290892;-0.099640;0.583297;0.579097;0.069871;-0.474651;-0.229330;
12.003032;0.291164;-0.097949;0.583769;0.579567;0.069917;-0.475079;-0.226316;
12.003235;0.291416;-0.096358;0.584213;0.580009;0.069961;-0.475478;-0.223484;
12.003235;0.291415;-0.096358;0.584213;0.580009;0.069961;-0.475476;-0.223484;
12.003235;0.291415;-0.096358;0.584213;0.580009;0.069961;-0.475476;-0.223483;
12.003235;0.291415;-0.096358;0.584213;0.580009;0.069961;-0.475476;-0.223483;
12.003418;0.291696;-0.094455;0.584742;0.580537;0.070007;-0.475919;-0.220094;
12.003418;0.291696;-0.094455;0.584742;0.580537;0.070007;-0.475918;-0.220094;
12.003653;0.292080;-0.091829;0.585472;0.581264;0.070070;-0.476523;-0.215425;
12.004122;0.292964;-0.085671;0.587176;0.582963;0.070214;-0.477910;-0.204519;
12.005060;0.295100;-0.070545;0.591318;0.587094;0.070559;-0.481253;-0.177998;
12.005371;0.295906;-0.064849;0.592862;0.588633;0.070689;-0.482511;-0.168115;
12.005371;0.295899;-0.064850;0.592862;0.588633;0.070688;-0.482500;-0.168113;
12.005401;0.295973;-0.064328;0.593004;0.588774;0.070700;-0.482615;-0.167210;
12.005401;0.295973;-0.064328;0.593004;0.588774;0.070700;-0.482615;-0.167210;
12.005401;0.295974;-0.064318;0.593006;0.588776;0.070700;-0.482617;-0.167193;
12.005401;0.295974;-0.064318;0.593006;0.588776;0.070700;-0.482617;-0.167193;
12.005401;0.295974;-0.064318;0.593006;0.588776;0.070700;-0.482617;-0.167193;
12.005401;0.295974;-0.064318;0.593006;0.588776;0.070700;-0.482617;-0.167193;
12.005622;0.296529;-0.060408;0.594061;0.589828;0.070790;-0.483481;-0.160442;
12.006064;0.297699;-0.052127;0.596282;0.592042;0.070979;-0.485303;-0.146229;
12.006948;0.300219;-0.034283;0.601010;0.596755;0.071388;-0.489212;-0.115972;
12.008717;0.305533;0.003023;0.610656;0.606366;0.072255;-0.497407;-0.054286;
12.010155;0.309849;0.032642;0.618098;0.613776;0.072970;-0.504023;-0.006740;
12.010155;0.309824;0.032639;0.618098;0.613776;0.072964;-0.503982;-0.006734;
12.010381;0.310519;0.037454;0.619291;0.614964;0.073079;-0.505045;0.000888;
12.010831;0.311942;0.047344;0.621728;0.617390;0.073313;-0.507213;0.016454;
12.011732;0.314871;0.067827;0.626715;0.622355;0.073795;-0.511664;0.048315;
12.013534;0.320812;0.109543;0.636639;0.632233;0.074772;-0.520636;0.111689;
12.015337;0.326686;0.150735;0.646152;0.641698;0.075741;-0.529446;0.172409;
12.017139;0.332330;0.190176;0.655016;0.650513;0.076676;-0.537860;0.228950;
12.018941;0.337641;0.226975;0.663086;0.658534;0.077562;-0.545741;0.280390;
12.020743;0.342560;0.260540;0.670288;0.665689;0.078390;-0.553015;0.326263;
12.022545;0.347057;0.290538;0.676604;0.671958;0.079156;-0.559653;0.366448;
12.024347;0.351126;0.316844;0.682053;0.677361;0.079861;-0.565660;0.401070;
12.027951;0.357699;0.355654;0.689940;0.685163;0.081047;-0.575414;0.451015;
12.031195;0.362602;0.381099;0.695013;0.690162;0.081975;-0.582752;0.482970;
12.034439;0.366666;0.398717;0.698476;0.693552;0.082789;-0.588911;0.504594;
12.037683;0.370078;0.410087;0.700681;0.695686;0.083514;-0.594162;0.518146;
12.040927;0.373017;0.417002;0.702001;0.696936;0.084174;-0.598756;0.526020;
12.044171;0.375624;0.420713;0.702689;0.697555;0.084790;-0.602890;0.529842;
12.047415;0.378001;0.422247;0.702951;0.697747;0.085374;-0.606706;0.530923;
12.050658;0.380234;0.422309;0.702924;0.697651;0.085940;-0.610327;0.530147;
12.053902;0.382377;0.421473;0.702721;0.697378;0.086494;-0.613822;0.528237;
12.060390;0.386544;0.418580;0.702074;0.696589;0.087588;-0.620654;0.522859;
12.066878;0.390702;0.415546;0.701397;0.695768;0.088680;-0.627471;0.517273;
12.073365;0.394887;0.412769;0.700767;0.694992;0.089777;-0.634325;0.511979;
12.086341;0.403373;0.408318;0.699717;0.693645;0.091985;-0.648190;0.502698;
12.099316;0.411908;0.404530;0.698790;0.692412;0.094199;-0.662115;0.494156;
12.125267;0.429007;0.397827;0.697086;0.690074;0.098622;-0.689981;0.477891;
12.149998;0.445205;0.391778;0.695516;0.687860;0.102809;-0.716357;0.462492;
12.149998;0.802739;0.662525;1.220409;1.212123;0.141971;-0.716450;0.462668;
12.150090;0.802670;0.662473;1.220399;1.212115;0.141955;-0.716388;0.462644;
12.150274;0.802387;0.661442;1.220195;1.211915;0.141911;-0.716171;0.461921;
12.150459;0.801966;0.659520;1.219812;1.211536;0.141856;-0.715866;0.460548;
12.150828;0.800622;0.652385;1.218386;1.210117;0.141706;-0.714933;0.455390;
12.151197;0.798823;0.642235;1.216350;1.208089;0.141523;-0.713711;0.448004;
12.151523;0.796575;0.628774;1.213638;1.205382;0.141314;-0.712214;0.438141;
12.151523;0.796565;0.628772;1.213638;1.205383;0.141312;-0.712205;0.438142;
12.151676;0.795518;0.623159;1.212505;1.204256;0.141197;-0.711480;0.434044;
12.151983;0.792825;0.610179;1.209884;1.201656;0.140863;-0.709551;0.424605;
12.152596;0.785441;0.578317;1.203419;1.195266;0.139848;-0.704099;0.401459;
12.153209;0.776480;0.541782;1.195936;1.187882;0.138562;-0.697380;0.374745;
12.153209;0.776483;0.541782;1.195936;1.187882;0.138562;-0.697383;0.374743;
12.153210;0.776465;0.541707;1.195920;1.187866;0.138560;-0.697369;0.374688;
12.153210;0.776465;0.541707;1.195920;1.187866;0.138560;-0.697369;0.374688;
12.153210;0.776464;0.541707;1.195920;1.187866;0.138560;-0.697369;0.374688;
12.153210;0.776464;0.541707;1.195920;1.187866;0.138560;-0.697369;0.374688;
12.153210;0.776464;0.541707;1.195920;1.187866;0.138560;-0.697369;0.374688;
12.153210;0.776464;0.541707;1.195920;1.187866;0.138560;-0.697369;0.374688;
12.153251;0.775844;0.539204;1.195405;1.187358;0.138470;-0.696903;0.372848;
12.153251;0.775844;0.539204;1.195405;1.187358;0.138470;-0.696902;0.372848;
12.153415;0.773325;0.529077;1.193314;1.185295;0.138105;-0.695006;0.365389;
12.153743;0.767913;0.507706;1.188881;1.180925;0.137311;-0.690912;0.349587;
12.154398;0.755923;0.461547;1.179207;1.171394;0.135525;-0.681779;0.315136;
12.154427;0.755361;0.459411;1.178756;1.170950;0.135440;-0.681350;0.313531;
12.154427;0.755359;0.459411;1.178757;1.170950;0.135440;-0.681348;0.313531;
12.154593;0.752293;0.447771;1.176293;1.168523;0.134979;-0.679002;0.304761;
12.154926;0.746048;0.424581;1.171357;1.163664;0.134029;-0.674200;0.287212;
12.155407;0.736815;0.391447;1.164244;1.156669;0.132594;-0.667044;0.261960;
12.155407;0.736805;0.391447;1.164244;1.156669;0.132591;-0.667035;0.261963;
12.155407;0.736805;0.391446;1.164244;1.156669;0.132591;-0.667035;0.261962;
12.155407;0.736805;0.391446;1.164244;1.156669;0.132591;-0.667035;0.261962;
12.155579;0.733510;0.379653;1.161692;1.154159;0.132079;-0.664478;0.252902;
12.155924;0.726871;0.356280;1.156605;1.149158;0.131038;-0.659305;0.234856;
12.156614;0.713542;0.310643;1.146556;1.139285;0.128916;-0.648853;0.199244;
12.157304;0.700328;0.266497;1.136678;1.129584;0.126789;-0.638425;0.164266;
12.158684;0.674904;0.184480;1.117889;1.111143;0.122632;-0.618190;0.097801;
12.160063;0.651113;0.109877;1.100259;1.093836;0.118704;-0.599102;0.035436;
12.161443;0.629203;0.042730;1.083906;1.077781;0.115062;-0.581401;-0.022424;
12.162823;0.609299;-0.017168;1.068894;1.063037;0.111740;-0.565225;-0.075563;
12.164203;0.591427;-0.070192;1.055241;1.049621;0.108749;-0.550628;-0.123923;
12.165582;0.575549;-0.116813;1.042930;1.037518;0.106091;-0.537603;-0.167561;
12.166962;0.561578;-0.157555;1.031918;1.026687;0.103753;-0.526100;-0.206625;
12.168342;0.549397;-0.192958;1.022144;1.017068;0.101721;-0.516041;-0.241331;
12.169722;0.538871;-0.223557;1.013531;1.008587;0.099971;-0.507329;-0.271940;
12.171101;0.529858;-0.249864;1.005998;1.001164;0.098481;-0.499855;-0.298742;
12.173861;0.516566;-0.289017;0.994548;0.989875;0.096304;-0.488818;-0.339530;
12.176344;0.507987;-0.315365;0.986671;0.982093;0.094940;-0.481705;-0.367682;
12.177706;0.504692;-0.326039;0.983436;0.978892;0.094434;-0.478985;-0.379277;
12.177706;0.504681;-0.326039;0.983436;0.978892;0.094432;-0.478976;-0.379275;
12.177986;0.503979;-0.328096;0.982812;0.978276;0.094317;-0.478389;-0.381504;
12.177986;0.503979;-0.328095;0.982812;0.978276;0.094317;-0.478389;-0.381504;
12.178328;0.503553;-0.328033;0.982839;0.978314;0.094207;-0.477994;-0.381333;
12.179012;0.502801;-0.327906;0.982893;0.978387;0.094011;-0.477298;-0.381012;
12.180379;0.501628;-0.327648;0.982996;0.978520;0.093704;-0.476208;-0.380442;
12.181043;0.501189;-0.327525;0.983043;0.978578;0.093588;-0.475800;-0.380199;
12.181043;0.501190;-0.327524;0.983043;0.978578;0.093588;-0.475800;-0.380198;
12.181529;0.501157;-0.325496;0.983673;0.979217;0.093516;-0.475709;-0.377835;
12.182503;0.501498;-0.319530;0.985511;0.981074;0.093416;-0.475846;-0.371004;
12.184449;0.503079;-0.303467;0.990412;0.986006;0.093317;-0.476820;-0.352901;
