time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_efdPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_QGenPu;SynchronousGenerator_generator_omegaPu;SynchronousGenerator_pss_UpssPu;
0.100008;0.408737;2.516792;0.132390;5.237430;0.999999;0.000185;
0.100008;0.408736;2.516954;0.132390;5.237419;0.999999;0.000197;
0.100008;0.408736;2.517116;0.132389;5.237408;0.999999;0.000210;
0.100008;0.408735;2.517278;0.132389;5.237397;0.999999;0.000222;
0.100009;0.408735;2.517440;0.132389;5.237386;0.999999;0.000235;
0.100009;0.408734;2.517603;0.132389;5.237376;0.999999;0.000248;
0.100009;0.408734;2.517765;0.132389;5.237365;0.999999;0.000262;
0.100009;0.408734;2.517927;0.132388;5.237354;0.999999;0.000275;
0.100010;0.408733;2.518089;0.132388;5.237343;0.999999;0.000289;
0.100010;0.408733;2.518252;0.132388;5.237332;0.999999;0.000303;
0.100010;0.408732;2.518414;0.132388;5.237322;0.999999;0.000317;
0.100010;0.408732;2.518576;0.132387;5.237311;0.999999;0.000332;
0.100010;0.408731;2.518738;0.132387;5.237300;0.999999;0.000346;
0.100011;0.408731;2.518900;0.132387;5.237289;0.999999;0.000361;
0.100011;0.408731;2.519063;0.132387;5.237279;1.000000;0.000376;
0.100011;0.408730;2.519225;0.132387;5.237268;1.000000;0.000391;
0.100011;0.408730;2.519387;0.132386;5.237257;1.000000;0.000406;
0.100012;0.408729;2.519549;0.132386;5.237246;1.000000;0.000421;
0.100012;0.408729;2.519712;0.132386;5.237235;1.000000;0.000437;
0.100012;0.408729;2.519874;0.132386;5.237225;1.000000;0.000452;
0.100012;0.408728;2.520036;0.132385;5.237214;1.000000;0.000468;
0.100013;0.408728;2.520199;0.132385;5.237203;1.000000;0.000484;
0.100013;0.408727;2.520361;0.132385;5.237192;1.000000;0.000500;
0.100013;0.408726;2.520685;0.132385;5.237171;1.000000;0.000533;
0.100014;0.408726;2.520978;0.132384;5.237151;1.000000;0.000563;
0.100014;0.408725;2.521270;0.132384;5.237132;1.000000;0.000593;
0.100014;0.408724;2.521562;0.132383;5.237113;1.000000;0.000624;
0.100015;0.408723;2.521854;0.132383;5.237093;1.000000;0.000655;
0.100015;0.408723;2.522109;0.132383;5.237076;1.000000;0.000682;
0.100015;0.408723;2.522109;0.132383;5.237076;1.000000;0.000682;
0.100015;0.408723;2.522109;0.132383;5.237076;1.000000;0.000682;
0.100015;0.408723;2.522110;0.132383;5.237076;1.000000;0.000682;
0.100015;0.408723;2.522110;0.132383;5.237076;1.000000;0.000682;
0.100015;0.408723;2.522110;0.132383;5.237076;1.000000;0.000682;
0.100015;0.408723;2.522110;0.132383;5.237076;1.000000;0.000682;
0.100015;0.408723;2.522111;0.132383;5.237076;1.000000;0.000682;
0.100015;0.408723;2.522111;0.132383;5.237076;1.000000;0.000683;
0.100015;0.408723;2.522113;0.132383;5.237076;1.000000;0.000683;
0.100015;0.408723;2.522115;0.132383;5.237076;1.000000;0.000683;
0.100015;0.408723;2.522121;0.132383;5.237075;1.000000;0.000684;
0.100015;0.408723;2.522131;0.132383;5.237075;1.000000;0.000685;
0.100015;0.408723;2.522152;0.132383;5.237073;1.000000;0.000687;
0.100015;0.408722;2.522194;0.132382;5.237071;1.000000;0.000692;
0.100016;0.408722;2.522278;0.132382;5.237065;1.000000;0.000701;
0.100016;0.408722;2.522447;0.132382;5.237054;1.000000;0.000719;
0.100016;0.408721;2.522784;0.132382;5.237031;1.000000;0.000756;
0.100017;0.408720;2.523120;0.132381;5.237009;1.000000;0.000794;
0.100017;0.408719;2.523457;0.132381;5.236987;1.000000;0.000831;
0.100018;0.408718;2.523794;0.132380;5.236964;1.000000;0.000870;
0.100018;0.408717;2.524131;0.132380;5.236942;1.000000;0.000908;
0.100019;0.408717;2.524468;0.132379;5.236920;1.000000;0.000947;
0.100019;0.408716;2.524804;0.132379;5.236897;1.000000;0.000987;
0.100020;0.408715;2.525141;0.132378;5.236875;1.000001;0.001026;
0.100020;0.408714;2.525478;0.132378;5.236852;1.000001;0.001066;
0.100021;0.408713;2.525815;0.132378;5.236830;1.000001;0.001107;
0.100021;0.408712;2.526152;0.132377;5.236808;1.000001;0.001147;
0.100022;0.408711;2.526489;0.132377;5.236785;1.000001;0.001188;
0.100022;0.408710;2.526826;0.132376;5.236763;1.000001;0.001229;
0.100022;0.408710;2.527163;0.132376;5.236741;1.000001;0.001270;
0.100023;0.408709;2.527500;0.132375;5.236718;1.000001;0.001312;
0.100023;0.408708;2.527837;0.132375;5.236696;1.000001;0.001354;
0.100024;0.408707;2.528174;0.132374;5.236674;1.000001;0.001396;
0.100024;0.408706;2.528511;0.132374;5.236651;1.000001;0.001438;
0.100025;0.408705;2.528849;0.132373;5.236629;1.000001;0.001480;
0.100025;0.408704;2.529186;0.132373;5.236607;1.000001;0.001523;
0.100026;0.408703;2.529523;0.132372;5.236584;1.000001;0.001565;
0.100026;0.408703;2.529860;0.132372;5.236562;1.000001;0.001608;
0.100027;0.408702;2.530197;0.132372;5.236539;1.000001;0.001651;
0.100027;0.408701;2.530534;0.132371;5.236517;1.000001;0.001694;
0.100028;0.408700;2.530872;0.132371;5.236495;1.000001;0.001737;
0.100028;0.408699;2.531209;0.132370;5.236472;1.000002;0.001781;
0.100029;0.408698;2.531546;0.132370;5.236450;1.000002;0.001824;
0.100029;0.408697;2.531884;0.132369;5.236428;1.000002;0.001868;
0.100030;0.408696;2.532221;0.132369;5.236405;1.000002;0.001912;
0.100030;0.408696;2.532558;0.132368;5.236383;1.000002;0.001956;
0.100031;0.408695;2.532896;0.132368;5.236361;1.000002;0.002000;
0.100031;0.408694;2.533233;0.132367;5.236338;1.000002;0.002044;
0.100032;0.408693;2.533571;0.132367;5.236316;1.000002;0.002088;
0.100032;0.408692;2.533908;0.132366;5.236294;1.000002;0.002132;
0.100033;0.408691;2.534246;0.132366;5.236271;1.000002;0.002177;
0.100033;0.408690;2.534583;0.132366;5.236249;1.000002;0.002221;
0.100034;0.408689;2.534921;0.132365;5.236227;1.000002;0.002266;
0.100035;0.408688;2.535596;0.132364;5.236182;1.000002;0.002355;
0.100035;0.408686;2.536203;0.132363;5.236142;1.000002;0.002436;
0.100036;0.408685;2.536811;0.132362;5.236101;1.000002;0.002516;
0.100037;0.408683;2.537419;0.132362;5.236061;1.000003;0.002597;
